COM4
Porta aberta: COM4
dt: 168505 | ü
dt: 979 | ÿ
dt: 76900 | a
dt: 98305 | b
dt: 98934 | ☺
dt: 95547 |
dt: 192448 | a
dt: 99014 | b
dt: 99786 | ☺
dt: 96997 | ☺
dt: 123401 |
dt: 1220 |

dt: 365 | 1
dt: 1246 | )
dt: 404 | E
dt: 319 | L
dt: 495 | E
dt: 419 | S
dt: 376 |
dt: 371 |

dt: 164163 | a
dt: 99336 | b
dt: 99377 | ☺
dt: 97485 | ☺
dt: 198094 | a
dt: 99481 | b
dt: 97858 | ☺
dt: 117577 |
dt: 414 |

dt: 3853 | 2
dt: 535 | )
dt: 573 | V
dt: 459 | A
dt: 451 | O
dt: 790 |
dt: 978 |

dt: 55980 | ☺
dt: 124938 | a
dt: 98260 | b
dt: 94399 | ☺
dt: 100052 |
dt: 195577 | a
dt: 98894 | b
dt: 58311 |
dt: 864 |

dt: 1592 | 3
dt: 2959 | )
dt: 1028 | S
dt: 2239 | E
dt: 3598 | R
dt: 1736 |
dt: 3040 |

dt: 700 | ☺
dt: 90414 |
dt: 197649 | a
dt: 99618 | b
dt: 97107 | ☺
dt: 99223 | ☺
dt: 193366 | a
dt: 119232 |
dt: 321 |

dt: 1312 | 4
dt: 2354 | )
dt: 2099 | T
dt: 735 | W
dt: 673 | O
dt: 702 |
dt: 618 |

dt: 16469 | b
dt: 99333 | ☺
dt: 100203 | ☺
dt: 196298 | a
dt: 100143 | b
dt: 96713 | ☺
dt: 98431 |
dt: 198174 | a
dt: 98601 | b
dt: 98668 | ☺
dt: 98957 | ☺
dt: 197137 | a
dt: 97492 | b
dt: 99990 | ☺
dt: 97082 |
dt: 198485 | a
dt: 95578 | b
dt: 98827 | ☺
dt: 98915 | ☺
dt: 198084 | a
dt: 95957 | b
dt: 100276 | ☺
dt: 98120 |
dt: 196131 | a
dt: 97906 | b
dt: 98396 | ☺
dt: 97183 | ☺
dt: 197588 | a
dt: 97348 | b
dt: 97648 | ☺
dt: 99450 |
dt: 195707 | a
dt: 97533 | b
dt: 99906 | ☺
dt: 97960 | ☺
dt: 196031 | a
dt: 97428 | b
dt: 99648 | ☺
dt: 96939 |
dt: 198271 | a
dt: 95276 | b
dt: 100090 | ☺
