COM6
Porta aberta: COM6
C |dtms: 17
D |dtms: 8

A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9

A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9

A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9

A |dtms: 21
B |dtms: 9
C |dtms: 9
D |dtms: 9

A |dtms: 20
B |dtms: 9
C |dtms: 9
D |dtms: 3

A |dtms: 19
B |dtms: 4
C |dtms: 10
D |dtms: 9

A |dtms: 19
B |dtms: 9
C |dtms: 10
D |dtms: 8
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 10
D |dtms: 8
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 20
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 20
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 7
A |dtms: 19
B |dtms: 9
C |dtms: 10
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 3
A |dtms: 18
B |dtms: 9
C |dtms: 10
D |dtms: 9
A |dtms: 19
B |dtms: 10
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 6
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 18
B |dtms: 9
C |dtms: 7
D |dtms: 9
A |dtms: 19
d |dtms: 11
o |dtms: 0
u |dtms: 2
g |dtms: 9
l |dtms: 8
a |dtms: 13
s |dtms: 8
B |dtms: 9
C |dtms: 9
D |dtms: 19

A |dtms: 11
B |dtms: 0
C |dtms: 5
D |dtms: 9

A |dtms: 10
r |dtms: 18
i |dtms: 9
c |dtms: 9
a |dtms: 9
r |dtms: 10
d |dtms: 0
o |dtms: 15
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 10
j |dtms: 0
o |dtms: 7
s |dtms: 18
e |dtms: 9
A |dtms: 10
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
a |dtms: 10
u |dtms: 9
l |dtms: 8
a |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 20
D |dtms: 9
A |dtms: 9
B |dtms: 8
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 8
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 8
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 10
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 13
A |dtms: 5
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 8
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 11
C |dtms: 14
D |dtms: 9
A |dtms: 9
B |dtms: 7
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 7
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 20
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 13
B |dtms: 2
C |dtms: 4
D |dtms: 7
A |dtms: 19
B |dtms: 10
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 11
C |dtms: 0
D |dtms: 5
A |dtms: 9
B |dtms: 10
d |dtms: 19
o |dtms: 9
u |dtms: 9
g |dtms: 9
l |dtms: 19
a |dtms: 10
s |dtms: 0
C |dtms: 7
D |dtms: 9
A |dtms: 9
B |dtms: 20
C |dtms: 9
D |dtms: 9
A |dtms: 9
r |dtms: 10
i |dtms: 0
c |dtms: 16
a |dtms: 9
r |dtms: 9
d |dtms: 9
o |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
j |dtms: 9
o |dtms: 9
s |dtms: 9
e |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 9
a |dtms: 19
u |dtms: 9
l |dtms: 8
a |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 10
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 10
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 10
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 10
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 7
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 7
D |dtms: 9
A |dtms: 19
B |dtms: 10
C |dtms: 7
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 7
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 8
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 7
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 9
A |dtms: 19
B |dtms: 9
C |dtms: 9
D |dtms: 10
A |dtms: 0
B |dtms: 7
C |dtms: 16
D |dtms: 9
A |dtms: 9
B |dtms: 10
C |dtms: 17
D |dtms: 9
A |dtms: 11
B |dtms: 0
C |dtms: 6
D |dtms: 7
A |dtms: 19
B |dtms: 9
C |dtms: 10
D |dtms: 7
A |dtms: 19
B |dtms: 10
C |dtms: 0
D |dtms: 7
A |dtms: 6
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
d |dtms: 10
o |dtms: 1
u |dtms: 4
g |dtms: 9
l |dtms: 9
a |dtms: 19
s |dtms: 9
D |dtms: 8
A |dtms: 9
B |dtms: 19
C |dtms: 9
D |dtms: 9
A |dtms: 9
B |dtms: 19
r |dtms: 9
i |dtms: 9
c |dtms: 10
a |dtms: 19
r |dtms: 9
d |dtms: 9
o |dtms: 10
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
j |dtms: 10
o |dtms: 19
s |dtms: 9
e |dtms: 9
B |dtms: 10
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 8
a |dtms: 10
u |dtms: 19
l |dtms: 9
a |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 8
C |dtms: 19
D |dtms: 8
A |dtms: 10
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 8
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 10
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 19
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 10
B |dtms: 9
C |dtms: 18
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 17
D |dtms: 9
A |dtms: 9
B |dtms: 9
C |dtms: 17
D |dtms: 9
A |dtms: 9
B |dtms: 10
C |dtms: 17
